Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Dataiku,$5B,12/4/2019,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",Alven Capital, FirstMark Capital, capitalG,,3
BetterUp,$5B,2/25/2021,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital,,3
Pleo,$5B,7/6/2021,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik",Creandum, Founders, Kinnevik,,3
Trade Republic,$5B,5/20/2021,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum",Founders Fund, Accel, Creandum,,3
Chipone,$5B,12/16/2021,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment,,3
Collibra,$5B,1/29/2019,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital",Index Ventures, Battery Ventures, ICONIQ Capital,,3
Rappi,$5B,8/31/2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures,4
6Sense,$5B,3/30/2021,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",Venrock, Battery Ventures, Insight Partners,,3
Cerebral,$5B,6/10/2021,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",Oak HC/FT Partners, Artis Ventures, WestCap Group,,3
Creditas,$5B,12/18/2020,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",Kaszek Ventures, Amadeus Capital Partners, Quona Capital,,3
OneTrust,$5B,7/11/2019,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners,Insight Partners,,,,1
QuintoAndar,$5B,9/9/2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,"Kaszek Ventures, General Atlantic, SoftBank Group",Kaszek Ventures, General Atlantic, SoftBank Group,,3
C6 Bank,$5B,12/2/2020,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse,Credit Suisse,,,,1
Cockroach Labs,$5B,1/12/2021,Data management & analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital",Google Ventures, Benchmark, FirstMark Capital,,3
Hopper,$5B,3/24/2021,Travel,Montreal,Canada,North America,2007,$599M,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",Capital One Growth Ventures, Citi Ventures, OMERS Ventures,,3
Icertis,$5B,7/17/2019,Artificial intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners",Eight Roads Ventures, Greycroft, Ignition Partners,,3
Moon Active,$5B,1/26/2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,"Insight Partners, Andalusian Capital Partners",Insight Partners, Andalusian Capital Partners,,,2
OfBusiness,$5B,7/31/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",Matrix Partners India, Falcon Edge Capital, SoftBank Group,,3
Ola Electric Mobility,$5B,7/2/2019,Auto & transportation,Bengaluru,India,Asia,2019,$761M,"SoftBank Group, Tiger Global Management, Matrix Partners India",SoftBank Group, Tiger Global Management, Matrix Partners India,,3
Pine Labs,$5B,1/24/2020,Fintech,Noida,India,Asia,1998,$903M,"Sequoia Capital India, Temasek, PayPal Ventures",Sequoia Capital India, Temasek, PayPal Ventures,,3
Qonto,$5B,1/11/2022,Fintech,Paris,France,Europe,2016,$704M,"Alven Capital, Valar Ventures, Tencent Holdings",Alven Capital, Valar Ventures, Tencent Holdings,,3
SambaNova Systems,$5B,4/13/2021,Data management & analytics,Palo Alto,United States,North America,2017,$1B,"Walden International, Google Ventures, Intel Capital",Walden International, Google Ventures, Intel Capital,,3
United Imaging Healthcare,$5B,9/15/2017,Health,Shanghai,China,Asia,2011,$503M,"China Life Insurance, China Development Bank Capital, CITIC Securities International",China Life Insurance, China Development Bank Capital, CITIC Securities International,,3
WM Motor,$5B,3/8/2019,Auto & transportation,Shanghai,China,Asia,2015,$4B,"Baidu Capital, Linear Venture, Tencent",Baidu Capital, Linear Venture, Tencent,,3
ZEPZ,$5B,8/23/2021,Fintech,London,United Kingdom,Europe,2010,$655M,"Accel, Technology Crossover Ventures, LeapFrog Investments",Accel, Technology Crossover Ventures, LeapFrog Investments,,3
Abogen,$4B,11/29/2021,Health,Suzhou,China,Asia,2019,$1B,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners,,3
Greensill,$4B,7/16/2018,Fintech,London,United Kingdom,Europe,2011,$2B,"SoftBank Group, General Atlantic",SoftBank Group, General Atlantic,,,2
HyalRoute,$4B,5/26/2020,Mobile & telecommunications,,Singapore,Asia,2015,$263M,Kuang-Chi,Kuang-Chi,,,,1
Radiology Partners,$4B,2/26/2018,Health,El Segundo,United States,North America,2012,$1B,"New Enterprise Associates, Starr Investment Holdings",New Enterprise Associates, Starr Investment Holdings,,,2
Yello Mobile,$4B,11/11/2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,$216M,Formation 8,Formation 8,,,,1
Turing,$4B,12/20/2021,Internet software & services,Palo Alto,United States,North America,2018,$128M,"Foundation Capital, Frontier Ventures, AltaIR Capital",Foundation Capital, Frontier Ventures, AltaIR Capital,,3
Lenskart,$4B,12/20/2019,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,$776M,"Chiratae Ventures, PremjiInvest, Softbank",Chiratae Ventures, PremjiInvest, Softbank,,3
Kraken,$4B,6/25/2019,Fintech,San Francisco,United States,North America,2011,$119M,"Bnk To The Future, Trammell Ventures, SBI Investment",Bnk To The Future, Trammell Ventures, SBI Investment,,3
Horizon Robotics,$4B,2/27/2019,Artificial intelligence,Beijing,China,Asia,2015,$2B,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",Hillhouse Capital Management, Linear Venture, Morningside Venture Capital,,3
MoonPay,$4B,11/22/2021,Fintech,Miami,United States,North America,2019,$555M,"New Enterprise Associates, Coatue Management, Tiger Global Management",New Enterprise Associates, Coatue Management, Tiger Global Management,,3
Celsius Network,$4B,10/12/2021,Fintech,Hoboken,United States,North America,2017,$864M,"WestCap Group, Caisse de depot et placement du Quebec",WestCap Group, Caisse de depot et placement du Quebec,,,2
ChargeBee Technologies,$4B,4/20/2021,Fintech,Walnut,United States,North America,2011,$468M,"Insight Partners, Tiger Global Management, Accel",Insight Partners, Tiger Global Management, Accel,,3
Coalition,$4B,3/17/2021,Cybersecurity,San Francisco,United States,North America,2017,$505M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",Two Sigma Ventures, Flint Capital, Commerce Ventures,,3
Commure,$4B,9/16/2021,Internet software & services,San Francisco,United States,North America,2017,$542M,"General Catalyst, HCA Healthcare",General Catalyst, HCA Healthcare,,,2
Flock Safety,$4B,7/13/2021,Hardware,Atlanta,United States,North America,2017,$381M,"Matrix Partners, Initialized Capital, Tiger Global Management",Matrix Partners, Initialized Capital, Tiger Global Management,,3
Handshake,$4B,5/12/2021,Internet software & services,San Francisco,United States,North America,2014,$434M,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,,3
Highspot,$4B,2/22/2021,Internet software & services,Seattle,United States,North America,2013,$643M,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",Madrona Venture Group, Shasta Ventures, Salesforce Ventures,,3
Indigo Ag,$4B,9/26/2017,Artificial intelligence,Boston,United States,North America,2014,$1B,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.,,3
Mirakl,$4B,9/22/2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,"Elaia Partners, 83North, Felix Capital",Elaia Partners, 83North, Felix Capital,,3
Rec Room,$4B,3/23/2021,Internet software & services,Seattle,United States,North America,2016,$294M,"First Round Capital, Sequoia Capital, Index Ventures",First Round Capital, Sequoia Capital, Index Ventures,,3
Tekion,$4B,10/21/2020,Internet software & services,San Ramon,United States,North America,2016,$435M,"Airbus Ventures, Index Ventures, Advent International",Airbus Ventures, Index Ventures, Advent International,,3
Otto Bock HealthCare,$4B,6/24/2017,Health,Duderstadt,Germany,Europe,1919,$0M,EQT Partners,EQT Partners,,,,1
Outreach,$4B,4/16/2019,Internet software & services,Seattle,United States,North America,2011,$489M,"Mayfield Fund, M12, Trinity Ventures",Mayfield Fund, M12, Trinity Ventures,,3
WeRide,$4B,12/23/2020,Auto & transportation,Guangzhou,China,Asia,2017,$1B,"Atop Capital, IDInvest Partners, Qiming Venture Partners",Atop Capital, IDInvest Partners, Qiming Venture Partners,,3
Applied Intuition,$4B,10/22/2020,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,"Andreessen Horowitz, Lux Capital, General Catalyst",Andreessen Horowitz, Lux Capital, General Catalyst,,3
Course Hero,$4B,2/12/2020,Edtech,Redwood City,United States,North America,2006,$477M,"NewView Capital, Maveron, Ridge Ventures",NewView Capital, Maveron, Ridge Ventures,,3
Relativity,$4B,3/18/2021,Internet software & services,Chicago,United States,North America,2001,$125M,"Silver Lake, ICONIQ Capital",Silver Lake, ICONIQ Capital,,,2
Whoop,$4B,10/28/2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,"NextView Ventures, Promus Ventures, Two Sigma Ventures",NextView Ventures, Promus Ventures, Two Sigma Ventures,,3
Arctic Wolf Networks,$4B,10/22/2020,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors,,3
GOAT,$4B,9/23/2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",Upfront Ventures, Webb Investment Network, D1 Capital Partners,,3
Noom,$4B,5/24/2021,Health,New York,United States,North America,2006,$657M,"Qualcomm Ventures, Samsung Ventures, Silver Lake",Qualcomm Ventures, Samsung Ventures, Silver Lake,,3
Papaya Global,$4B,3/4/2021,Internet software & services,New York,United States,North America,2016,$440M,"Bessemer Venture Partners, Insight Partners, New Era Ventures",Bessemer Venture Partners, Insight Partners, New Era Ventures,,3
Redwood Materials,$4B,7/28/2021,Other,Carson City,United States,North America,2017,$792M,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners,,3
ShareChat,$4B,4/8/2021,Internet software & services,Bengaluru,India,Asia,2015,$1B,"India Quotient, Elevation Capital, Lightspeed Venture Partners",India Quotient, Elevation Capital, Lightspeed Venture Partners,,3
Sorare,$4B,9/21/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2019,$739M,"Benchmark, Accel, SoftBank Group",Benchmark, Accel, SoftBank Group,,3
VAST Data,$4B,4/16/2020,Data management & analytics,New York,United States,North America,2016,$263M,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital,,3
Articulate,$4B,7/1/2021,Edtech,New York,United States,North America,2015,$2B,"Blackstone, ICONIQ Growth, General Atlantic",Blackstone, ICONIQ Growth, General Atlantic,,3
Dutchie,$4B,3/16/2021,E-commerce & direct-to-consumer,Bend,United States,North America,2017,$603M,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",Casa Verde Capital, Gron Ventures, Thrity Five Ventures,,3
FalconX,$4B,8/10/2021,Fintech,San Mateo,United States,North America,2018,$324M,"Tiger Global Management, American Express Ventures, B Capital Group",Tiger Global Management, American Express Ventures, B Capital Group,,3
Guild Education,$4B,11/13/2019,Internet software & services,Denver,United States,North America,2015,$379M,"General Atlantic, Blackstone, ICONIQ Growth",General Atlantic, Blackstone, ICONIQ Growth,,3
Chainalysis,$4B,11/23/2020,Fintech,New York,United States,North America,2014,$367M,"Addition, Benhcmark, Accel",Addition, Benhcmark, Accel,,3
dbt Labs,$4B,6/30/2021,Data management & analytics,Philadelphia,United States,North America,2016,$414M,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",Andreessen Horowitz, Amplify Partners, Sequoia Capital,,3
Globalization Partners,$4B,1/24/2022,Internet software & services,Boston,United States,North America,2012,$350M,"Vista Equity Partners, Wincove, TDR Capital",Vista Equity Partners, Wincove, TDR Capital,,3
Intarcia Therapeutics,$4B,4/1/2014,Health,Boston,United States,North America,1995,$1B,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital",New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital,,3
Relativity Space,$4B,11/23/2020,Other,Inglewood,United States,North America,2016,$1B,"Playground Global, Bond, Tribe Capital",Playground Global, Bond, Tribe Capital,,3
StockX,$4B,6/26/2019,E-commerce & direct-to-consumer,Detroit,United States,North America,2016,$495M,"Google Ventures, Battery Ventures, DST Global",Google Ventures, Battery Ventures, DST Global,,3
ThoughtSpot,$4B,5/8/2018,Internet software & services,Sunnyvale,United States,North America,2012,$664M,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital,,3
SSENSE,$4B,6/8/2021,E-commerce & direct-to-consumer,Montreal,Canada,North America,2003,Unknown,Sequoia Capital,Sequoia Capital,,,,1
BitPanda,$4B,3/16/2021,Fintech,Vienna,Austria,Europe,2014,$546M,"Speedinvest, Valar Ventures, Uniqa Ventures",Speedinvest, Valar Ventures, Uniqa Ventures,,3
Dataminr,$4B,6/4/2018,Artificial intelligence,New York,United States,North America,2009,$1B,"Venrock, Institutional Venture Partners, Goldman Sachs",Venrock, Institutional Venture Partners, Goldman Sachs,,3
Weee!,$4B,3/16/2021,"Supply chain, logistics, & delivery",Fremont,United States,North America,2015,$864M,"Goodwater Capital, iFly, XVC Venture Capital",Goodwater Capital, iFly, XVC Venture Capital,,3
Medlinker,$4B,7/31/2018,Health,Chengdu,China,Asia,2014,$761M,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China,,3
Hozon Auto,$4B,2/22/2022,Auto & transportation,Shanghai,China,Asia,2014,$2B,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",HD Capital, Qihoo 360 Technology, China Fortune Land Development,,3
Aurora Solar,$4B,5/24/2021,Internet software & services,San Francisco,United States,North America,2013,$523M,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",Fifth Wall Ventures, Energize Ventures, ICONIQ Capital,,3
Branch,$4B,9/10/2018,Mobile & telecommunications,Redwood City,United States,North America,2014,$667M,"New Enterprise Associates, Pear, Cowboy Ventures",New Enterprise Associates, Pear, Cowboy Ventures,,3
BrowserStack,$4B,6/16/2021,Internet software & services,Dublin,Ireland,Europe,2011,$250M,"Accel, Insight Partners, Bond Capital",Accel, Insight Partners, Bond Capital,,3
Cerebras Systems,$4B,11/14/2018,Hardware,Los Altos,United States,North America,2016,$720M,"Benchmark, Foundation Capital, Sequoia Capital",Benchmark, Foundation Capital, Sequoia Capital,,3
ClickUp,$4B,12/15/2020,Internet software & services,San Diego,United States,North America,2017,$535M,"Georgian Partners, Craft Ventures",Georgian Partners, Craft Ventures,,,2
Clubhouse,$4B,1/24/2021,Mobile & telecommunications,San Francisco,United States,North America,2020,$110M,"Andreessen Horowitz, TQ Ventures",Andreessen Horowitz, TQ Ventures,,,2
Farmers Business Network,$4B,8/3/2020,Other,San Carlos,United States,North America,2014,$870M,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,,3
Houzz,$4B,9/30/2014,E-commerce & direct-to-consumer,Palo Alto,United States,North America,2008,$614M,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",New Enterprise Associates, Sequoia Capital, Comcast Ventures,,3
MEGVII,$4B,10/31/2017,Artificial intelligence,Beijing,China,Asia,2011,$1B,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company,,3
Melio,$4B,1/25/2021,Fintech,New York,United States,North America,2018,$504M,"Accel, Aleph, American Express Ventures",Accel, Aleph, American Express Ventures,,3
Next Insurance,$4B,10/7/2019,Fintech,Palo Alto,United States,North America,2016,$881M,"Zeev Ventures, Ribbit Capital, TLV Partners",Zeev Ventures, Ribbit Capital, TLV Partners,,3
